error_type,index,true_label,pred_label,text_preview
true_negatives,51,0,0,tengo una buena idea para el trabajo
true_negatives,53,0,0,cuál es tu película favorita
true_negatives,54,0,0,qué opinas sobre el clima
true_negatives,55,0,0,el cielo está muy bonito hoy
true_negatives,57,0,0,qué opinas sobre el clima
true_negatives,58,0,0,creo que deberíamos mejorar la educación
true_negatives,63,0,0,tengo una pregunta sobre el proyecto
true_negatives,64,0,0,creo que deberíamos mejorar la educación
true_negatives,65,0,0,cuál es tu película favorita
true_negatives,68,0,0,tengo una buena idea para el trabajo
true_negatives,69,0,0,tengo una buena idea para el trabajo
true_negatives,70,0,0,vamos al cine el viernes
true_negatives,71,0,0,tengo una buena idea para el trabajo
true_negatives,76,0,0,tengo una buena idea para el trabajo
true_negatives,77,0,0,qué opinas sobre el clima
true_negatives,79,0,0,creo que deberíamos mejorar la educación
true_negatives,80,0,0,el cielo está muy bonito hoy
true_negatives,85,0,0,cuál es tu película favorita
true_negatives,86,0,0,cuál es tu película favorita
true_negatives,87,0,0,qué opinas sobre el clima
true_negatives,88,0,0,qué opinas sobre el clima
true_negatives,89,0,0,creo que deberíamos mejorar la educación
true_negatives,93,0,0,me gustaría discutir la política
true_negatives,94,0,0,me gustaría discutir la política
true_negatives,97,0,0,me encanta este libro
true_negatives,99,0,0,me encanta este libro
true_negatives,101,0,0,qué opinas sobre el clima
true_negatives,102,0,0,me encanta este libro
true_negatives,106,0,0,cuál es tu película favorita
true_negatives,108,0,0,cuál es tu película favorita
true_negatives,112,0,0,creo que deberíamos mejorar la educación
true_negatives,114,0,0,el cielo está muy bonito hoy
true_negatives,115,0,0,cuál es tu película favorita
true_negatives,118,0,0,tengo una buena idea para el trabajo
true_negatives,119,0,0,tengo una pregunta sobre el proyecto
true_negatives,120,0,0,tengo una pregunta sobre el proyecto
true_negatives,122,0,0,cuál es tu película favorita
true_negatives,124,0,0,vamos al cine el viernes
true_negatives,125,0,0,tengo una pregunta sobre el proyecto
true_negatives,126,0,0,vamos al cine el viernes
true_negatives,127,0,0,hola cómo estás
true_negatives,128,0,0,tengo una pregunta sobre el proyecto
true_negatives,129,0,0,qué opinas sobre el clima
true_negatives,130,0,0,cuál es tu película favorita
true_negatives,132,0,0,tengo una pregunta sobre el proyecto
true_negatives,133,0,0,creo que deberíamos mejorar la educación
true_negatives,134,0,0,el cielo está muy bonito hoy
true_negatives,135,0,0,qué opinas sobre el clima
true_negatives,136,0,0,vamos al cine el viernes
true_negatives,137,0,0,me gustaría discutir la política
true_negatives,138,0,0,hola cómo estás
true_negatives,139,0,0,qué opinas sobre el clima
true_negatives,142,0,0,creo que deberíamos mejorar la educación
true_negatives,143,0,0,cuál es tu película favorita
true_negatives,145,0,0,me encanta este libro
true_negatives,146,0,0,cuál es tu película favorita
true_negatives,149,0,0,qué opinas sobre el clima
true_negatives,150,0,0,hola cómo estás
true_negatives,151,0,0,el cielo está muy bonito hoy
true_negatives,155,0,0,qué opinas sobre el clima
true_negatives,158,0,0,cuál es tu película favorita
true_negatives,159,0,0,me gustaría discutir la política
true_negatives,163,0,0,cuál es tu película favorita
true_negatives,167,0,0,me encanta este libro
true_negatives,168,0,0,vamos al cine el viernes
true_negatives,169,0,0,tengo una buena idea para el trabajo
true_negatives,170,0,0,el cielo está muy bonito hoy
true_negatives,171,0,0,me encanta este libro
true_negatives,173,0,0,tengo una pregunta sobre el proyecto
true_negatives,176,0,0,el cielo está muy bonito hoy
true_negatives,177,0,0,me encanta este libro
true_negatives,178,0,0,hola cómo estás
true_negatives,181,0,0,el cielo está muy bonito hoy
true_negatives,183,0,0,hola cómo estás
true_negatives,190,0,0,hola cómo estás
true_negatives,197,0,0,me encanta este libro
